ticker,entry_date,entry,exit,pnl,exit_reason,type
BWE,60,46210.0,47365.24999999999,2.499999999999984,Trailing SL,PULLBACK
BWE,62,46410.0,47570.24999999999,2.499999999999984,Trailing SL,PULLBACK
BWE,63,46850.0,48021.24999999999,2.4999999999999845,Trailing SL,PULLBACK
BWE,65,46990.0,48164.74999999999,2.4999999999999845,Trailing SL,PULLBACK
BWE,66,46850.0,48021.24999999999,2.4999999999999845,Trailing SL,PULLBACK
BWE,68,46210.0,47365.24999999999,2.499999999999984,Trailing SL,PULLBACK
BWE,81,47570.0,45870.0,-3.5736808913180576,Time Exit,PULLBACK
BWE,129,47430.0,45295.65,-4.499999999999997,Trailing SL,PULLBACK
BWE,140,48500.0,46317.5,-4.5,Trailing SL,EMA_CROSS
SCS,56,60110.0,59200.0,-1.5138911994676425,Time Exit,PULLBACK
CNG,194,26400.0,27059.999999999996,2.4999999999999862,Trailing SL,EMA_CROSS
VOS,63,14010.0,14360.249999999998,2.499999999999987,Trailing SL,PULLBACK
VOS,76,14060.0,13427.3,-4.500000000000005,Trailing SL,PULLBACK
VOS,89,14570.0,13914.349999999999,-4.500000000000011,Trailing SL,PULLBACK
CSV,76,35650.0,34045.75,-4.5,Trailing SL,PULLBACK
TCH,103,20430.0,20940.75,2.5,Trailing SL,PULLBACK
SGN,76,64400.0,63730.0,-1.0403726708074534,Time Exit,PULLBACK
SGN,77,64210.0,63820.0,-0.6073820277215387,Time Exit,PULLBACK
NBB,90,24250.0,24856.249999999996,2.499999999999985,Trailing SL,PULLBACK
DPR,188,39900.0,40897.5,2.5,Trailing SL,EMA_CROSS
NHA,81,20420.0,20930.5,2.5,Trailing SL,PULLBACK
NHA,116,21030.0,20083.649999999998,-4.500000000000011,Trailing SL,PULLBACK
GEG,76,16350.0,16758.75,2.5,Trailing SL,PULLBACK
HAG,181,18250.0,17428.75,-4.5,Trailing SL,PULLBACK
HAG,182,17900.0,17094.5,-4.5,Trailing SL,PULLBACK
ORS,134,14450.0,14811.249999999998,2.499999999999987,Trailing SL,PULLBACK
HDC,133,34060.0,32527.3,-4.500000000000002,Trailing SL,PULLBACK
DMC,120,61560.0,61200.0,-0.5847953216374269,Time Exit,PULLBACK
DMC,121,61560.0,61000.0,-0.9096816114359974,Time Exit,PULLBACK
SVC,170,26300.0,25116.5,-4.5,Trailing SL,EMA_CROSS
KSB,76,17850.0,18296.25,2.5,Trailing SL,PULLBACK
KSB,81,18500.0,18962.5,2.5,Trailing SL,PULLBACK
HHS,116,17400.0,17835.0,2.5,Trailing SL,PULLBACK
HHS,129,18000.0,17190.0,-4.5,Trailing SL,PULLBACK
SSB,89,20650.0,22715.000000000004,10.000000000000018,TP,PULLBACK
SZL,192,48200.0,49404.99999999999,2.499999999999985,Trailing SL,PULLBACK
VTO,62,12750.0,12700.0,-0.39215686274509803,Time Exit,PULLBACK
VTO,66,12650.0,12966.249999999998,2.499999999999986,Trailing SL,PULLBACK
VTO,86,13000.0,12415.0,-4.5,Trailing SL,PULLBACK
QCG,178,15150.0,14468.25,-4.5,Trailing SL,PULLBACK
DSE,125,26630.0,25431.649999999998,-4.500000000000008,Trailing SL,PULLBACK
GIL,88,20000.0,19100.0,-4.5,Trailing SL,PULLBACK
CTI,117,25850.0,24686.75,-4.5,Trailing SL,PULLBACK
CTI,124,25950.0,24782.25,-4.5,Trailing SL,PULLBACK
CTI,129,25050.0,23922.75,-4.5,Trailing SL,PULLBACK
PDR,133,24200.0,23111.0,-4.5,Trailing SL,PULLBACK
OCB,123,13250.0,12653.75,-4.5,Trailing SL,PULLBACK
HAH,139,59900.0,61397.49999999999,2.499999999999988,Trailing SL,EMA_CROSS
DPG,76,45150.0,43118.25,-4.5,Trailing SL,PULLBACK
DPG,129,47800.0,45649.0,-4.5,Trailing SL,PULLBACK
TV2,76,37920.0,38868.0,2.5,Trailing SL,PULLBACK
SMC,195,13800.0,13179.0,-4.5,Trailing SL,PULLBACK
KOS,53,38800.0,38800.0,0.0,Time Exit,PULLBACK
SIP,52,58220.0,59675.49999999999,2.4999999999999876,Trailing SL,PULLBACK
BMI,62,18810.0,18150.0,-3.508771929824561,Time Exit,PULLBACK
BMI,63,18680.0,17839.399999999998,-4.5000000000000115,Trailing SL,PULLBACK
BMI,89,19210.0,19690.25,2.5,Trailing SL,PULLBACK
BMI,140,19850.0,20346.25,2.5,Trailing SL,PULLBACK
BSI,76,45950.0,47098.74999999999,2.499999999999984,Trailing SL,PULLBACK
HTN,60,10150.0,10403.75,2.5,Trailing SL,PULLBACK
HTN,76,10600.0,10123.0,-4.5,Trailing SL,PULLBACK
LSS,89,10100.0,9645.5,-4.5,Trailing SL,PULLBACK
AGG,62,16900.0,17322.5,2.5,Trailing SL,PULLBACK
VIP,76,13050.0,13376.249999999998,2.499999999999986,Trailing SL,PULLBACK
SRC,178,52800.0,50424.0,-4.5,Trailing SL,PULLBACK
DVN,93,22370.0,21363.35,-4.500000000000007,Trailing SL,PULLBACK
GDT,60,20650.0,19720.75,-4.5,Trailing SL,PULLBACK
GDT,98,19990.0,19800.0,-0.9504752376188095,Time Exit,PULLBACK
GDT,157,19800.0,19610.0,-0.9595959595959596,Time Exit,PULLBACK
GDT,167,20130.0,19224.149999999998,-4.500000000000011,Trailing SL,EMA_CROSS
VRC,178,14150.0,14503.749999999998,2.499999999999987,Trailing SL,EMA_CROSS
PGI,179,22000.0,21010.0,-4.5,Trailing SL,EMA_CROSS
CTS,123,41500.0,42537.49999999999,2.4999999999999822,Trailing SL,PULLBACK
CTS,133,41800.0,39919.0,-4.5,Trailing SL,PULLBACK
FMC,86,38900.0,37149.5,-4.5,Trailing SL,PULLBACK
FMC,88,38900.0,37149.5,-4.5,Trailing SL,PULLBACK
TCO,91,12150.0,11603.25,-4.5,Trailing SL,PULLBACK
KLB,148,16700.0,15948.5,-4.5,Trailing SL,PULLBACK
KLB,185,16700.0,18370.0,10.0,TP,PULLBACK
TLG,192,52200.0,53504.99999999999,2.499999999999986,Trailing SL,PULLBACK
LBM,150,35330.0,36213.25,2.5,Trailing SL,PULLBACK
LBM,164,35750.0,37400.0,4.615384615384616,Time Exit,PULLBACK
NHH,162,11850.0,12146.249999999998,2.4999999999999845,Trailing SL,EMA_CROSS
HVH,69,14300.0,13656.5,-4.5,Trailing SL,PULLBACK
HVH,72,14050.0,14401.249999999998,2.499999999999987,Trailing SL,PULLBACK
HVH,75,14000.0,13370.0,-4.5,Trailing SL,PULLBACK
HVH,97,13850.0,13226.75,-4.5,Trailing SL,PULLBACK
HVH,166,13600.0,13939.999999999998,2.4999999999999867,Trailing SL,EMA_CROSS
HVH,181,13650.0,13035.75,-4.5,Trailing SL,PULLBACK
TDP,126,31380.0,29967.899999999998,-4.500000000000007,Trailing SL,EMA_CROSS
TDP,143,31460.0,30044.3,-4.500000000000003,Trailing SL,PULLBACK
PNC,121,27870.0,28566.749999999996,2.499999999999987,Trailing SL,PULLBACK
HDM,194,37300.0,35621.5,-4.5,Trailing SL,PULLBACK
VIM,145,12480.0,11918.4,-4.500000000000003,Trailing SL,PULLBACK
YEG,63,12800.0,13119.999999999998,2.499999999999986,Trailing SL,PULLBACK
YEG,66,12800.0,13119.999999999998,2.499999999999986,Trailing SL,PULLBACK
YEG,69,12700.0,13017.499999999998,2.499999999999986,Trailing SL,PULLBACK
YEG,76,13000.0,13324.999999999998,2.499999999999986,Trailing SL,PULLBACK
YEG,116,14650.0,13990.75,-4.5,Trailing SL,PULLBACK
VIF,62,16260.0,16100.0,-0.984009840098401,Time Exit,PULLBACK
VIF,79,16400.0,16810.0,2.5,Trailing SL,PULLBACK
VIF,96,16900.0,16139.5,-4.5,Trailing SL,EMA_CROSS
VIF,110,16500.0,15757.5,-4.5,Trailing SL,PULLBACK
VIF,184,15900.0,15184.5,-4.5,Trailing SL,PULLBACK
VIF,184,15900.0,15184.5,-4.5,Trailing SL,EMA_CROSS
VIF,191,15900.0,15184.5,-4.5,Trailing SL,PULLBACK
VIF,192,16000.0,15280.0,-4.5,Trailing SL,PULLBACK
SHS,129,26900.0,25689.5,-4.5,Trailing SL,PULLBACK
BVB,76,14000.0,14349.999999999998,2.499999999999987,Trailing SL,PULLBACK
BVB,195,14200.0,14554.999999999998,2.499999999999987,Trailing SL,EMA_CROSS
VBB,124,11320.0,11320.0,0.0,Time Exit,PULLBACK
VBB,129,11320.0,11130.0,-1.678445229681979,Time Exit,PULLBACK
PGB,169,12700.0,12128.5,-4.5,Trailing SL,PULLBACK
ABI,87,20640.0,21155.999999999996,2.4999999999999822,Trailing SL,PULLBACK
ABI,92,20710.0,21227.749999999996,2.4999999999999822,Trailing SL,PULLBACK
