date,code,strategy,entry_price,stop_loss,take_profit,rsi,volume_ratio,entry_date,exit_date,days_held,exit_price,shares,gross_pnl,net_pnl,pnl_percent,exit_reason,commission,r_r_ratio,hold_days
2024-05-24,DCS,BREAKOUT,0.7006999999999999,0.6649999999999999,0.77,66.66666666666666,9.074357158090363,2024-05-24,2024-05-31,7,0.76923,28542885.685742833,1956043.956043959,1893109.890109893,9.465549450549466,TAKE_PROFIT,62934.06593406594,,
2024-01-15,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-15,2024-01-19,4,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-01-16,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-16,2024-01-19,3,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-01-17,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-17,2024-01-19,2,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-01-18,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-18,2024-01-19,1,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-01-22,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-22,2024-01-26,4,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-01-23,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-23,2024-01-26,3,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-01-24,DCS,PULLBACK,0.5005,0.495,0.6,50.0,,2024-01-24,2024-01-26,2,0.5993999999999999,39960039.960039966,3952047.952047952,3886119.88011988,19.4305994005994,TAKE_PROFIT,65928.07192807193,19.99999999999998,
2024-02-23,DCS,EMA_CROSS,0.6005999999999999,0.4782021664062095,0.66,66.66666666666666,9.984400171292236,2024-02-23,2024-03-25,31,0.4995,33300033.300033305,-3366633.366633364,-3421583.416583414,-17.10791708291707,MAX_HOLD,54950.04995004996,,
2024-06-07,DIC,BREAKOUT,1.3013,1.2349999999999999,1.4300000000000002,66.66666666666669,3.6688732274460265,2024-06-07,2024-06-14,7,1.2337649999999998,15369246.138476908,-1037962.0379620399,-1096405.0949050968,-5.482025474525484,STOP_LOSS,58443.05694305694,,
2024-06-20,DIC,PULLBACK,1.2011999999999998,1.188,1.3,50.0,,2024-06-20,2024-06-21,1,1.2987,16650016.650016652,1623376.623376626,1560941.5584415612,7.804707792207806,TAKE_PROFIT,62435.06493506494,8.333333333333334,
2024-06-21,DIC,PULLBACK,1.2011999999999998,1.188,1.3,50.0,,2024-06-21,2024-06-28,7,1.2987,16650016.650016652,1623376.623376626,1560941.5584415612,7.804707792207806,TAKE_PROFIT,62435.06493506494,8.333333333333334,
2024-06-24,DIC,PULLBACK,1.2011999999999998,1.188,1.3,50.0,,2024-06-24,2024-06-28,4,1.2987,16650016.650016652,1623376.623376626,1560941.5584415612,7.804707792207806,TAKE_PROFIT,62435.06493506494,8.333333333333334,
2024-06-25,DIC,PULLBACK,1.2011999999999998,1.188,1.3,50.0,,2024-06-25,2024-06-28,3,1.2987,16650016.650016652,1623376.623376626,1560941.5584415612,7.804707792207806,TAKE_PROFIT,62435.06493506494,8.333333333333334,
2024-06-26,DIC,PULLBACK,1.2011999999999998,1.188,1.3,50.0,,2024-06-26,2024-06-28,2,1.2987,16650016.650016652,1623376.623376626,1560941.5584415612,7.804707792207806,TAKE_PROFIT,62435.06493506494,8.333333333333334,
2024-07-05,DIC,PULLBACK,1.2011999999999998,1.188,1.3,50.0,,2024-07-05,2024-07-08,3,1.2987,16650016.650016652,1623376.623376626,1560941.5584415612,7.804707792207806,TAKE_PROFIT,62435.06493506494,8.333333333333334,
2024-03-29,DIC,EMA_CROSS,1.4013999999999998,1.2161119135858498,1.54,100.0,4.100950780643608,2024-03-29,2024-04-05,7,1.214895801672264,14271442.842871416,-2661684.0063898363,-2717691.4803802515,-13.588457401901257,STOP_LOSS,56007.473990415245,,
2024-01-25,DVG,BREAKOUT,3.4033999999999995,3.23,3.74,66.66666666666666,6.497985763493966,2024-01-25,2024-01-29,4,3.22677,5876476.464711759,-1037962.0379620345,-1096405.0949050914,-5.482025474525457,STOP_LOSS,58443.056943056945,,
2024-01-11,DVG,PULLBACK,3.1031,2.9699999999999998,3.3,50.0,,2024-01-11,2024-01-25,14,3.2967,6445167.7354903165,1247784.4735909253,1185912.796880539,5.929563984402695,TAKE_PROFIT,61871.67671038639,1.5384615384615323,
2024-01-12,DVG,PULLBACK,3.1031,2.9699999999999998,3.3,50.0,,2024-01-12,2024-01-25,13,3.2967,6445167.7354903165,1247784.4735909253,1185912.796880539,5.929563984402695,TAKE_PROFIT,61871.67671038639,1.5384615384615323,
2024-01-31,DVG,PULLBACK,3.2032,2.9699999999999998,3.6,54.54545454545455,,2024-01-31,2024-02-22,22,3.5964,6243756.243756244,2455044.9550449564,2391362.387612389,11.956811938061945,TAKE_PROFIT,63682.56743256743,1.739130434782605,
